Model,Variable,Feature_Index,Hour,R,MSE,SSIM,PSNR
baseline_ST,slp,0,0,0.9993299746869294,0.0012855713970391994,0.9991451038040933,60.939067547769156
baseline_ST,slp,1,6,0.7678161310500673,0.4255252784556253,0.6596406727251191,35.70276116285084
baseline_ST,slp,2,12,0.862373797459102,0.25807466778434435,0.7711055228655856,37.88350482708293
baseline_ST,slp,3,18,0.6577300553704529,0.6329069868792132,0.5588674236045644,34.068961158693504
baseline_ST,slp,4,24,0.9993298609184389,0.0012854533057396395,0.9991451615961787,60.939346392553105
baseline_ST,z300,5,0,0.999894113990655,0.0002117269035807954,0.9995185747703312,63.436337643428736
baseline_ST,z300,6,6,0.8743921046564015,0.25432670228423104,0.7299529807453597,32.742386634135116
baseline_ST,z300,7,12,0.9510772145856322,0.09854669851823321,0.8380923956338292,36.88247663505944
baseline_ST,z300,8,18,0.8322191085055457,0.3391673111640547,0.6633656555762141,31.588254630746317
baseline_ST,z300,9,24,0.9998941088201189,0.00021171642273791746,0.9995185494760946,63.43594722910059
baseline_ST,z500,10,0,0.9998561444157504,0.00029002670948982884,0.9996596728064068,64.92002731984202
baseline_ST,z500,11,6,0.7935646938559129,0.413532921183803,0.6644343938647541,33.24199901135818
baseline_ST,z500,12,12,0.9503846950958466,0.0987565982863573,0.8647389914314104,39.636486208262866
baseline_ST,z500,13,18,0.7404615088397379,0.5191306626774554,0.6032244148778463,32.4339276902473
baseline_ST,z500,14,24,0.9998560301963999,0.00029005539705846754,0.9996596290252303,64.91943183914591
baseline_ST,u10,15,0,0.9763600209546396,0.04362815145646643,0.9695233161514475,43.630107903137834
baseline_ST,u10,16,6,0.8017206506748562,0.3683629417400834,0.7143337233996501,34.47654423779426
baseline_ST,u10,17,12,0.6728171211815908,0.6110113934792845,0.5880820328298524,32.21544730247169
baseline_ST,u10,18,18,0.5968456675413636,0.7549694110424027,0.5260336048339391,31.357253303949324
baseline_ST,u10,19,24,0.9763588674244306,0.043628864522673165,0.9695225008377713,43.63004470158267
baseline_ST,v10,20,0,0.974233547431374,0.04701077233654264,0.9661646262517921,43.11463707255935
baseline_ST,v10,21,6,0.775774099625023,0.42185474769727754,0.6660547905261068,33.636098491489285
baseline_ST,v10,22,12,0.6057733586108679,0.7483189688674885,0.5158237358965901,31.166057562424754
baseline_ST,v10,23,18,0.5004494184069029,0.9534807162691709,0.44258470881238204,30.18120351895636
baseline_ST,v10,24,24,0.9742311234950705,0.047011098056849665,0.9661636059265793,43.11441870491981
