Model,Variable,Feature_Index,Hour,R,MSE,SSIM,PSNR
baseline_TS,slp,0,0,0.9993299746869294,0.0012855713970391994,0.9991451038040933,60.939067547769156
baseline_TS,slp,1,6,0.7678161310500673,0.4255252784556253,0.6596406727251191,35.70276116285084
baseline_TS,slp,2,12,0.8623600200313938,0.2580977978634282,0.7711022448257651,37.8830920057445
baseline_TS,slp,3,18,0.657702210391683,0.6329491947741988,0.5588622830230446,34.06861621188642
baseline_TS,slp,4,24,0.9993298609184389,0.0012854533057396395,0.9991451615961787,60.939346392553105
baseline_TS,z300,5,0,0.999894113990655,0.0002117269035807954,0.9995185747703312,63.436337643428736
baseline_TS,z300,6,6,0.8743921046564015,0.25432670228423104,0.7299529807453597,32.742386634135116
baseline_TS,z300,7,12,0.951075631810504,0.09854944883259308,0.8380912147076981,36.882349873866644
baseline_TS,z300,8,18,0.8322157774440052,0.3391720621170457,0.6633647247016797,31.58818678605518
baseline_TS,z300,9,24,0.9998941088201189,0.00021171642273791746,0.9995185494760946,63.43594722910059
baseline_TS,z500,10,0,0.9998561444157504,0.00029002670948982884,0.9996596728064068,64.92002731984202
baseline_TS,z500,11,6,0.793566743669129,0.4135260670083067,0.6644349035727636,33.24207358203163
baseline_TS,z500,12,12,0.9503389712332906,0.09884246765374519,0.8647224071777215,39.63370596647985
baseline_TS,z500,13,18,0.7403727984969388,0.5192810486684364,0.603207553296748,32.43274124964621
baseline_TS,z500,14,24,0.9998560301963999,0.00029005539705846754,0.9996596290252303,64.91943183914591
baseline_TS,u10,15,0,0.9763600209546396,0.04362815145646643,0.9695233161514475,43.630107903137834
baseline_TS,u10,16,6,0.8017216211507505,0.36836076692366937,0.7143339929872563,34.476569757137966
baseline_TS,u10,17,12,0.6727618497420591,0.6110409829023319,0.5880686057165266,32.21513013092784
baseline_TS,u10,18,18,0.5967275262922102,0.755027038802472,0.5260080204012807,31.356736943065986
baseline_TS,u10,19,24,0.9763588674244306,0.043628864522673165,0.9695225008377713,43.63004470158267
baseline_TS,v10,20,0,0.974233547431374,0.04701077233654264,0.9661646262517921,43.11463707255935
baseline_TS,v10,21,6,0.775774226503818,0.4218544849389313,0.666054813932018,33.63610061014388
baseline_TS,v10,22,12,0.6057268834148174,0.7483693656446678,0.5158106973120645,31.165741730706134
baseline_TS,v10,23,18,0.5003453810323234,0.9535833368822034,0.4425608393989071,30.180702191568532
baseline_TS,v10,24,24,0.9742311234950705,0.047011098056849665,0.9661636059265793,43.11441870491981
