Model,Variable,Hour,Feature_Index_Mid,R,MSE,SSIM,PSNR
Direct,slp,6,0,0.8721584758869598,0.2508023694614972,0.761664787951576,38.34474899562046
Direct,slp,12,1,0.914204311798407,0.17567833294803883,0.8229973539527915,39.56297615866653
Direct,slp,18,2,0.8753447262385509,0.23518183166048542,0.7734106434187699,38.37026682195629
Direct,z300,6,3,0.920762422411637,0.1594322498637243,0.7985482087428588,35.06869663124014
Direct,z300,12,4,0.9635981824347516,0.08038001667490396,0.8702505174312142,37.73009763631674
Direct,z300,18,5,0.9201071922514344,0.16749434768158983,0.7932107008901104,34.787100649723925
Direct,z500,6,6,0.8867533251401347,0.2114409989559516,0.7803588657653308,36.63661065833175
Direct,z500,12,7,0.9621448021315845,0.08702884189759047,0.885954400457291,40.129914561732605
Direct,z500,18,8,0.8855060139660298,0.2117556621409986,0.7790522842774634,36.57443939593923
Direct,u10,6,9,0.8296638453244609,0.29252825330817744,0.7435130463371974,35.423311514950946
Direct,u10,12,10,0.7931241066090406,0.34311349864867086,0.7090110327475486,34.67019004743447
Direct,u10,18,11,0.8264775209123625,0.2991548923677344,0.7343258116384447,35.29018135999577
Direct,v10,6,12,0.8264863403984984,0.30609128192877666,0.7231553893547621,34.98240504960015
Direct,v10,12,13,0.7687182194676396,0.3882537968469419,0.6626087081762216,33.92299510507834
Direct,v10,18,14,0.8224854246990876,0.3157840819687686,0.7127168811730209,34.820119541295405
