Model,Variable,Hour,Feature_Index_Mid,R,MSE,SSIM,PSNR
Indirect,slp,6,0,0.7737729786213163,0.4457339514937564,0.6703727054633247,35.56669068833047
Indirect,slp,12,1,0.9139272648281153,0.314131298806388,0.7395029597423685,37.109822440452795
Indirect,slp,18,2,0.7721996389505098,0.46247131040562345,0.6468012032882319,35.35571864903865
Indirect,z300,6,3,0.8678376300001862,0.2725234838090047,0.7192647454092157,32.65381629998306
Indirect,z300,12,4,0.9713674847995598,0.0631408101532826,0.8892192820993537,38.77318607388884
Indirect,z300,18,5,0.8673454077652757,0.2645929316574765,0.7178419275322047,32.78521130443307
Indirect,z500,6,6,0.7776661529109055,0.5051518883037001,0.640539564985654,32.512429448205424
Indirect,z500,12,7,0.9750837851404252,0.08800690248332327,0.8736093468105174,40.102546625500075
Indirect,z500,18,8,0.7779210801695426,0.4941160019093267,0.6380909665584145,32.482677739841726
Indirect,u10,6,9,0.8331544616682816,0.3163593541490924,0.7441970124976242,35.10435853471175
Indirect,u10,12,10,0.7763454163663449,0.7172994427839536,0.4849706584551449,31.42115018588538
Indirect,u10,18,11,0.8246558612715308,0.3321519660983965,0.7304330022498008,34.8699471744214
Indirect,v10,6,12,0.811707851672581,0.4048885154053618,0.6532317648841288,33.75562680342266
Indirect,v10,12,13,0.7325530640443795,0.5943591317506308,0.5824828293592312,32.0772243808229
Indirect,v10,18,14,0.8070835346682882,0.3669362878499688,0.6844085334647467,34.16815896862773
