Model,Variable,Hour,Feature_Index_Mid,R,MSE,SSIM,PSNR
Direct,slp,6,0,0.8721584758869598,0.2508023694614972,0.761664787951576,38.34474899562046
Direct,slp,12,1,0.914204311798407,0.17567833294803883,0.8229973539527915,39.56297615866653
Direct,slp,18,2,0.8753447262385509,0.23518183166048542,0.7734106434187699,38.37026682195629
Direct,z300,6,3,0.920762422411637,0.1594322498637243,0.7985482087428588,35.06869663124014
Direct,z300,12,4,0.9635981824347516,0.08038001667490396,0.8702505174312142,37.73009763631674
Direct,z300,18,5,0.9201071922514344,0.16749434768158983,0.7932107008901104,34.787100649723925
Direct,z500,6,6,0.8867533251401347,0.2114409989559516,0.7803588657653308,36.63661065833175
Direct,z500,12,7,0.9621448021315845,0.08702884189759047,0.885954400457291,40.129914561732605
Direct,z500,18,8,0.8855060139660298,0.2117556621409986,0.7790522842774634,36.57443939593923
Direct,u10,6,9,0.8296638453244609,0.29252825330817744,0.7435130463371974,35.423311514950946
Direct,u10,12,10,0.7931241066090406,0.34311349864867086,0.7090110327475486,34.67019004743447
Direct,u10,18,11,0.8264775209123625,0.2991548923677344,0.7343258116384447,35.29018135999577
Direct,v10,6,12,0.8264863403984984,0.30609128192877666,0.7231553893547621,34.98240504960015
Direct,v10,12,13,0.7687182194676396,0.3882537968469419,0.6626087081762216,33.92299510507834
Direct,v10,18,14,0.8224854246990876,0.3157840819687686,0.7127168811730209,34.820119541295405
Separate,slp,6,0,0.7464038023572424,0.6019604904928594,0.5960502805184837,34.456361844670894
Separate,slp,12,1,0.903711639246317,0.22001739889415411,0.8027078539578927,38.50809885108764
Separate,slp,18,2,0.7634010464735257,0.48735130249654535,0.6484411622790912,35.334142786952725
Separate,z300,6,3,0.8603848923261589,0.47061812400865943,0.5962179091781701,31.202176338092105
Separate,z300,12,4,0.9669004330308556,0.07490686146121621,0.8667800018278469,38.022162184822974
Separate,z300,18,5,0.8836302861751377,0.2244243729025876,0.7413839277452279,33.38965334994382
Separate,z500,6,6,0.7555740078617229,0.6444903528545849,0.5723569105596291,32.47651125093913
Separate,z500,12,7,0.9674076804768392,0.08762395823173114,0.8775953540613636,40.25797387881516
Separate,z500,18,8,0.7947033627143254,0.35426160005618146,0.6735917904561853,34.09024876215666
Separate,u10,6,9,0.8341243838003874,0.28499675629191373,0.7523035296739179,35.5614998950699
Separate,u10,12,10,0.7863603390314438,0.41323649445504695,0.6731344217474048,33.859331300511116
Separate,u10,18,11,0.795816215363782,0.7582659904959966,0.64030658528522,31.279985580227994
Separate,v10,6,12,0.8260829196510756,0.3919414178059585,0.6565983448255164,33.90014574135388
Separate,v10,12,13,0.7274395550562958,0.620123502311971,0.5671129597705562,31.845824080780826
Separate,v10,18,14,0.8042066076299456,0.5717756509648256,0.6452204030175777,32.24739278739436
Indirect,slp,6,0,0.7737729786213163,0.4457339514937564,0.6703727054633247,35.56669068833047
Indirect,slp,12,1,0.9139272648281153,0.314131298806388,0.7395029597423685,37.109822440452795
Indirect,slp,18,2,0.7721996389505098,0.46247131040562345,0.6468012032882319,35.35571864903865
Indirect,z300,6,3,0.8678376300001862,0.2725234838090047,0.7192647454092157,32.65381629998306
Indirect,z300,12,4,0.9713674847995598,0.0631408101532826,0.8892192820993537,38.77318607388884
Indirect,z300,18,5,0.8673454077652757,0.2645929316574765,0.7178419275322047,32.78521130443307
Indirect,z500,6,6,0.7776661529109055,0.5051518883037001,0.640539564985654,32.512429448205424
Indirect,z500,12,7,0.9750837851404252,0.08800690248332327,0.8736093468105174,40.102546625500075
Indirect,z500,18,8,0.7779210801695426,0.4941160019093267,0.6380909665584145,32.482677739841726
Indirect,u10,6,9,0.8331544616682816,0.3163593541490924,0.7441970124976242,35.10435853471175
Indirect,u10,12,10,0.7763454163663449,0.7172994427839536,0.4849706584551449,31.42115018588538
Indirect,u10,18,11,0.8246558612715308,0.3321519660983965,0.7304330022498008,34.8699471744214
Indirect,v10,6,12,0.811707851672581,0.4048885154053618,0.6532317648841288,33.75562680342266
Indirect,v10,12,13,0.7325530640443795,0.5943591317506308,0.5824828293592312,32.0772243808229
Indirect,v10,18,14,0.8070835346682882,0.3669362878499688,0.6844085334647467,34.16815896862773
