Model,Variable,R,MSE,SSIM,PSNR
Direct,slp,0.8872358379746391,0.2205541780233405,0.786024261774379,38.759330658747764
Direct,z300,0.9348225990326077,0.13576887140673935,0.8206698090213944,35.86196497242693
Direct,z500,0.9114680470792497,0.17007516766484687,0.8151218501666951,37.78032153866786
Direct,u10,0.8164218242819548,0.3115988814415276,0.7289499635743969,35.127894307460394
Direct,v10,0.8058966615217419,0.33670972024816237,0.6994936595680015,34.5751732319913
Separate,slp,0.804505496025695,0.43644306396118626,0.6823997655851559,36.09953449423708
Separate,z300,0.903638537177384,0.2566497861241544,0.734793946250415,34.20466395761963
Separate,z500,0.8392283503509624,0.36212530371416585,0.7078480183590594,35.60824463063698
Separate,u10,0.8054336460652044,0.4854997470809858,0.6885815122355142,33.566938925269675
Separate,v10,0.7859096941124389,0.527946857027585,0.6229772358712168,32.664454203176355
Indirect,slp,0.8199666274666472,0.407445520235256,0.6855589561646417,36.01074392594064
Indirect,z300,0.9021835075216739,0.2000857418732546,0.7754419850135914,34.73740455943499
Indirect,z500,0.8435570060736244,0.3624249308987833,0.7174132927848619,35.032551271182406
Indirect,u10,0.8113852464353858,0.45527025434381413,0.6532002244008567,33.79848529833951
Indirect,v10,0.7837814834617496,0.4553946450019872,0.6400410425693689,33.33367005095776
