Model,Variable,Hour,Feature_Index_Mid,R,MSE,SSIM,PSNR
Separate,slp,6,0,0.7464038023572424,0.6019604904928594,0.5960502805184837,34.456361844670894
Separate,slp,12,1,0.903711639246317,0.22001739889415411,0.8027078539578927,38.50809885108764
Separate,slp,18,2,0.7634010464735257,0.48735130249654535,0.6484411622790912,35.334142786952725
Separate,z300,6,3,0.8603848923261589,0.47061812400865943,0.5962179091781701,31.202176338092105
Separate,z300,12,4,0.9669004330308556,0.07490686146121621,0.8667800018278469,38.022162184822974
Separate,z300,18,5,0.8836302861751377,0.2244243729025876,0.7413839277452279,33.38965334994382
Separate,z500,6,6,0.7555740078617229,0.6444903528545849,0.5723569105596291,32.47651125093913
Separate,z500,12,7,0.9674076804768392,0.08762395823173114,0.8775953540613636,40.25797387881516
Separate,z500,18,8,0.7947033627143254,0.35426160005618146,0.6735917904561853,34.09024876215666
Separate,u10,6,9,0.8341243838003874,0.28499675629191373,0.7523035296739179,35.5614998950699
Separate,u10,12,10,0.7863603390314438,0.41323649445504695,0.6731344217474048,33.859331300511116
Separate,u10,18,11,0.795816215363782,0.7582659904959966,0.64030658528522,31.279985580227994
Separate,v10,6,12,0.8260829196510756,0.3919414178059585,0.6565983448255164,33.90014574135388
Separate,v10,12,13,0.7274395550562958,0.620123502311971,0.5671129597705562,31.845824080780826
Separate,v10,18,14,0.8042066076299456,0.5717756509648256,0.6452204030175777,32.24739278739436
